日付,状態,店舗名,都道府県,市区町村,業種,情報ソース,主要テナント一覧,開業形態,注目ポイント,要約
2026-09-11,確定,スポーツデポ・ゴルフ5（おのだサンパーク内）,山口県,周南市,スポーツ用品,流通ニュース,スポーツデポ・ゴルフ5,グランドオープン,複数スポーツ関連店の同日オープン,同日複数のスポーツ関連店舗が同施設内で同時にオープンしたと報じられている。
2026-09-12,確定,PREMIUM BUFFET弘前店,青森県,弘前市,バイキング,流通ニュース,PREMIUM BUFFET,グランドオープン,ベーカリー導入の飲食業態,バイキング形式の飲食店が新規オープンし、ベーカリー導入などの目玉があると報じられている。
2026-09-14,確定,ゆめマート八代高田,熊本県,八代市,スーパー,流通ニュース,ゆめマート,営業再開,営業再開（休業→再開）,営業再開。休業していた店舗が再び営業を再開したとの報告。
2026-09-16,確定,SANYO Style STORE PLUS イオンモール岡崎店,愛知県,岡崎市,商業施設,食彩品館NEWS,SANYO Style STORE PLUS,グランドオープン,イオンモール内の新業態出店,新規オープン。家電・ファッション等を扱う店舗がイオンモール内に出店した。
2026-09-16,確定,ヨドバシカメラ マルチメディア名鉄名古屋店,愛知県,名古屋市,電器量販店,流通ニュース,ヨドバシカメラ,グランドオープン,総売場面積1万1900㎡の大型店,大型家電量販店が出店し、総売場面積が1万1900㎡と規模が大きい旨が報じられている。
2026-09-17,確定,明治屋自由が丘ストアー,東京都,目黒区,スーパー,食彩品館NEWS,明治屋,グランドオープン,高級食材を扱う専門店の出店,新規オープン。高級食材を扱う店舗が自由が丘に出店した。
2026-09-17,確定,ロピア ムサシ新潟西店,新潟県,新潟市,スーパー,食彩品館NEWS,ロピア,グランドオープン,地域スーパーの新規出店,新規オープン。ロピアの新店舗が地域で営業開始した。
2026-09-17,確定,資さんうどん児玉店,埼玉県,本庄市,うどん店,流通ニュース,資さんうどん,グランドオープン,既存店の業態転換による出店,既存施設（ガスト）を業態転換して資さんうどんの新店舗として営業を開始した。
2026-09-17,予定,ケーズデンキ桜井店,奈良県,桜井市,電器量販店,出店ウォッチ,ケーズデンキ,予定,開店予定（詳細未発表）,新規オープン予定。今後開店する見込みで詳細は未確定。
2026-09-18,確定,イオンモール八千代緑が丘,千葉県,八千代市,商業施設,流通ニュース,複数（ユニクロ等）,グランドオープン,大型テナント複数（ユニクロ等）出店,ユニクロ等の大型テナントを含む新規出店があり、施設が開業したと報じられている。
2026-09-18,確定,神戸屋ベーカリースタンド（東武池袋駅構内）,東京都,豊島区,ベーカリー,流通ニュース,神戸屋,グランドオープン,駅ナカ出店／ドリンク提供あり,駅構内にベーカリースタンドを新規出店し、ドリンク提供も行うと報じられている。
2026-09-22,確定,マルキョウ下山門店,福岡県,福岡市西区,スーパー,流通ニュース,マルキョウ,閉店,閉店・営業終了,閉店が報じられている（営業終了）。
2026-09-25,確定,ゆめマート九品寺,熊本県,熊本市,スーパー,流通ニュース,ゆめマート,営業再開,営業再開（休業→再開）,営業再開が報じられており、休業からの復帰が確認されている。
2026-10-01,確定,駅前広場「ATOCHI」,千葉県,習志野市,商業施設,流通ニュース,開発プロジェクト,計画・整備,津田沼PARCO跡地を活用した駅前広場・商業開発プロジェクトとして整備される旨が報じられている。
2026-10-03,確定,月島もんじゃ くうや,神奈川県,川崎市,もんじゃ焼き,流通ニュース,月島もんじゃ くうや,グランドオープン,ラゾーナ川崎内の飲食出店,ラゾーナ川崎内にて新店舗が出店。もんじゃ焼き店の新規オープン。
2026-10-07,確定,ちきゅうのにわ,岩手県,盛岡市,こどもの遊び場,流通ニュース,ちきゅうのにわ,グランドオープン,イオンモール内の屋内型遊び場,イオンモール盛岡内の屋内型こども遊び場として新規オープンしたと報じられている。
2026-10-09,確定,TAKENOKO＋byFOODSMARKETsatakeビエラ千里丘,大阪府,吹田市,スーパー,食彩品館NEWS,TAKENOKO＋,グランドオープン,地域向けスーパーマーケットの出店,新規オープン。地域向けのスーパーマーケットが出店した。
2026-10-29,確定,オーケー長吉店,大阪府,大阪市,スーパー,食彩品館NEWS,オーケー,グランドオープン,地域スーパーの新規出店,新規オープン。地域に新しいスーパーマーケットが開店した。
2026-11-03,確定,猿田彦珈琲（皇居東御苑内）,東京都,千代田区,カフェ,流通ニュース,猿田彦珈琲,グランドオープン,皇居東御苑内への新規出店,皇居東御苑内に新たなカフェを出店したと報じられている。
2026-11-28,予定,ドラッグコスモス印場橋店,愛知県,,ドラッグストア,食彩品館NEWS,ドラッグコスモス,予定,オープン予定（詳細未発表）,オープン予定。今後開店予定で詳細は発表待ち。
2027-01-29,予定,ザ・ビッグエクストラ関店,岐阜県,関市,スーパー,食彩品館NEWS,ザ・ビッグ,予定,オープン予定（開店日設定あり）,オープン予定。開店日が予定されているが確定情報は未掲載。
