日付,状態,店舗名,場所,業種,情報ソース,概要,内容要約
2026-09-17,確定,資さんうどん児玉店,埼玉県本庄市,うどん店,流通ニュース,既存ファミリーレストランを業態転換して資さんうどんの新店舗に改装,ガストを業態転換
2026-09-17,予定,ケーズデンキ桜井店,奈良県桜井市,電器量販店,出店ウォッチ,奈良県桜井市にケーズデンキの新店が開店予定,新規オープン予定
2026-09-18,確定,イオンモール八千代緑が丘,千葉県八千代市,商業施設,流通ニュース,大型ショッピングモールにユニクロなど複数の新テナントが入居して開業,ユニクロなど新規オープン
2026-09-18,確定,神戸屋ベーカリースタンド（東武池袋駅構内）,東京都豊島区,ベーカリー,流通ニュース,東武池袋駅構内にベーカリースタンドが出店、ドリンク提供もあり通勤客向け,ドリンクも提供
2026-09-22,確定,マルキョウ下山門店,福岡市西区,スーパー,流通ニュース,福岡市西区のマルキョウが閉店し、地域の買物環境に影響,閉店
2026-09-25,確定,ゆめマート九品寺,熊本県,スーパー,流通ニュース,九品寺地区のゆめマートが営業再開、地域サービスを再開,営業再開
2026-10-01,確定,駅前広場「ATOCHI」,千葉県津田沼,商業施設,流通ニュース,津田沼PARCO跡地に再開発された駅前広場「ATOCHI」が整備される,津田沼PARCO跡地
2026-10-03,確定,月島もんじゃ くうや,神奈川県川崎市,もんじゃ焼き,流通ニュース,ラゾーナ川崎内に月島発祥のもんじゃ店が出店,ラゾーナ川崎内
2026-10-07,確定,ちきゅうのにわ,岩手県盛岡市,こどもの遊び場,流通ニュース,イオンモール盛岡内の屋内型子ども向け遊び場がオープン,屋内型施設（イオンモール盛岡内）
2026-10-09,確定,TAKENOKO＋byFOODSMARKETsatakeビエラ千里丘,大阪府,スーパー,食彩品館NEWS,千里丘に新規オープンしたスーパーマーケット、新業態の導入がある可能性,新規オープン
2026-10-29,確定,オーケー長吉店,大阪市,スーパー,食彩品館NEWS,大阪市内にオーケーの新店舗が開業、地域向けの品揃えで出店,新規オープン
2026-11-03,確定,猿田彦珈琲（皇居東御苑内）,東京都千代田区,カフェ,流通ニュース,皇居東御苑内に猿田彦珈琲の新店舗が出店、観光客や周辺来訪者を想定,新店舗
2026-11-28,予定,ドラッグコスモス印場橋店,愛知県,ドラッグストア,食彩品館NEWS,愛知県内にドラッグコスモスの新店舗がオープン予定,オープン予定
2027-01-29,予定,ザ・ビッグエクストラ関店,岐阜県関市,スーパー,食彩品館NEWS,岐阜県関市に大型スーパーの新店が予定されている,オープン予定
